MTS793|MPT|FRA|1|2|,|/|:|33|1|1|A

Acquisition de données						Temps :	102,02539	Sec	01/07/2008 14:07:04
Temps	Ch 1 Displacement	Ch 1 Force	Ch 1 Extenso externe	Ch 1 Extenso MTS
Sec	mm	kN	mm	mm
0,12109375	-0,00035613193	0,10813092	0,0004838407	-0,00078638695
0,22070313	0,00019240685	0,1108753	0,00046670437	-0,00074183528
0,3203125	-0,00052224717	0,10996281	0,00048242509	-0,00077182701
0,41992188	5,0193092e-05	0,10744573	0,0004439801	-0,00071703363
0,51953125	0,00017806597	0,11604998	0,0004683435	-0,00073545496
0,61914063	0,0010086421	0,11249457	0,00045932829	-0,00073909492
0,71875	-2,2706399e-05	0,11557404	0,00047340989	-0,00076688605
0,81835938	0,00044576247	0,12994912	0,00046610832	-0,00067638495
0,91796875	-0,00025096547	0,12092251	0,0004709512	-0,00073682511
1,0175781	0,00069911807	0,13017738	0,00042334199	-0,00067940209
1,1171875	-0,00015535956	0,13853453	0,00041864812	-0,00071930344
1,2167969	0	0,13450655	0,00042580068	-0,0006901836
1,3164063	0,0017077602	0,13728553	0,00043950975	-0,00072485337
1,4160156	0,0019025572	0,14113423	0,00042401254	-0,00072254206
1,515625	0,0022467384	0,15492469	0,00044822693	-0,00065374235
1,6152344	0,0011018579	0,1423831	0,0003760308	-0,00079145242
1,7148438	0,00059873186	0,14826201	0,00038020313	-0,00068558869
1,8144531	0,0011508559	0,15446813	0,00031501055	-0,00063386781
1,9140625	0,0015870577	0,15557377	0,00032097101	-0,00068982376
2,0136719	0,0019431898	0,16276287	0,0002630055	-0,00062131474
2,1132813	0,0016587622	0,16071278	0,00023506582	-0,00067846099
2,2128906	0,0021594979	0,17151098	0,00022523105	-0,00056369795
2,3125	0,0025956999	0,18109107	0,00020518899	-0,00059918425
2,4121094	0,0014914519	0,17600349	0,00019960105	-0,00046564004
2,5117188	0,0029374911	0,17850716	0,00019259751	-0,00048695397
2,6113281	0,0033175244	0,1892599	0,0002143532	-0,00055459107
2,7109375	0,0030295115	0,17889461	0,00021368265	-0,00073411246
2,8105469	0,0019730665	0,18229637	0,00023759902	-0,00057997403
2,9101563	0,0029518318	0,18687247	0,00020474195	-0,00061637379
3,0097656	0,0029159796	0,19776379	0,00021986663	-0,00048862863
3,109375	0,0030032201	0,19517486	0,00023759902	-0,00061004882
3,2089844	0,0038051144	0,19769579	0,00022619963	-0,00053634966
3,3085938	0,0027331333	0,18856476	0,00025637448	-0,00059209805
3,4082031	0,002905224	0,1985006	0,00026024878	-0,00050284254
3,5078125	0,0035350278	0,22001846	0,00026546419	-0,00044630526
3,6074219	0,0043667988	0,21325274	0,00027157366	-0,00048497482
3,7070313	0,0044875015	0,2076112	0,00029198825	-0,00043538536
3,8066406	0,0048185368	0,20888561	0,0002836436	-0,00048359079
3,90625	0,003931792	0,21860884	0,00031560659	-0,00041104041
4,0058594	0,0045544254	0,22455169	0,0002989918	-0,0004619032
4,1054688	0,0052439831	0,22284877	0,00027216971	-0,00048558379
4,2050781	0,0047898549	0,22866961	0,00030994415	-0,00038154694
4,3046875	0,0043225815	0,21945673	0,00034213066	-0,00042499136
4,4042969	0,0044875015	0,2215414	0,0003811717	-0,00050224742
4,5039063	0,0046548117	0,23618843	0,00039801002	-0,00037476522
4,6035156	0,0046822983	0,23299329	0,00035300851	-0,00040186435
4,703125	0,005847495	0,2392446	0,00042781234	-0,00037904186
4,8027344	0,0046966393	0,23730613	0,00047169626	-0,0003849793
4,9023438	0,0059359306	0,24081434	0,00045217574	-0,00037367185
5,0019531	0,0052523487	0,22974013	0,00047013164	-0,00041314412
5,1015625	0,0066900221	0,24873896	0,00047504902	-0,000388038
5,2011719	0,0058690067	0,25116521	0,00054262578	-0,00035980396
5,3007813	0,0062036272	0,24433111	0,00049047172	-0,00046208312
5,4003906	0,0049392395	0,2478648	0,00051170588	-0,00038507619
5,5	0,0051435968	0,25925466	0,00052429736	-0,00033886373
5,5996094	0,0052164965	0,25093669	0,000538975	-0,00038136699
5,6992188	0,0075086476	0,25345936	0,00045090914	-0,00034891171
5,7988281	0,0054339999	0,26062614	0,00043302774	-0,00034747232
5,8984375	0,0070867864	0,26460695	0,00043205917	-0,00038287559
5,9980469	0,0069887904	0,27282742	0,00042557716	-0,00027017476
6,0976563	0,0066936072	0,27141228	0,00044792891	-0,00038968498
6,1972656	0,0078827059	0,27442852	0,00040128827	-0,0002903261
6,296875	0,0074990871	0,27658129	0,00040687621	-0,0003426421
6,3964844	0,006327915	0,27895862	0,00041954219	-0,00029269277
6,4960938	0,0070604947	0,2765139	0,00034995377	-0,00026748976
6,5957031	0,0074907215	0,28249574	0,00036112964	-0,00031076808
6,6953125	0,0083583454	0,29275161	0,00037953258	-0,00029804892
6,7949219	0,0069756447	0,28554013	0,00043831766	-0,00032516191
6,8945313	0,0079185581	0,30494463	0,00037707388	-0,00026549675
6,9941406	0,0067246794	0,29125735	0,00042892992	-0,00040650083
7,09375	0,0086702593	0,29447833	0,00038728118	-0,00029807663
7,1933594	0,0081994003	0,30214787	0,00040888786	-0,00026682543
7,2929688	0,0072134645	0,29610774	0,00037007034	-0,00028689372
7,3925781	0,009143508	0,30745235	0,0003465265	-0,00020410158
7,4921875	0,0091793602	0,31022838	0,00029601157	-0,00029975129
7,5917969	0,0084312446	0,30782604	0,0002669543	-0,00025288833
7,6914063	0,0091458987	0,30424318	0,00024870038	-0,0002339826
7,7910156	0,0087825963	0,30964905	0,00023439527	-0,00026430649
7,890625	0,0087061115	0,32241097	0,00024363399	-0,00016933498
7,9902344	0,0089487117	0,31724384	0,00018008053	-0,00028466544
8,0898438	0,010199954	0,32181269	0,00019669533	-0,00022293811
8,1894531	0,01055489	0,31560129	0,00023134053	-0,00028693525
8,2890625	0,0081743039	0,31675515	0,00024393201	-0,00022516638
8,3886719	0,009888039	0,3363238	0,00023558736	-0,00018988769
8,4882813	0,0087706456	0,32697889	0,00027917325	-0,00023805162
8,5878906	0,0086869905	0,3400833	0,00024221838	-0,00018390872
8,6875	0,010319461	0,32882369	0,00025860965	-0,00010620978
8,7871094	0,010078056	0,34468225	0,00021994114	-0,00010706787
8,8867188	0,010375629	0,34322307	0,00024415553	-0,0001793276
8,9863281	0,010355313	0,33269966	0,00030763447	-0,00013335043
9,0859375	0,011741598	0,3452909	0,00030636787	-0,00016085093
9,1855469	0,010441358	0,35694534	0,00031068921	-0,00016422794
9,2851563	0,011175133	0,34903681	0,00031173229	-5,1623985e-05
9,3847656	0,010063715	0,34145403	0,00028133392	-0,00010998816
9,484375	0,011547997	0,35804242	0,0003195554	-0,00018150052
9,5839844	0,010315876	0,35007447	0,00033214688	-0,00015290665
9,6835938	0,011999735	0,35495952	0,00035203993	-0,00011097081
9,7832031	0,012480154	0,36464751	0,00034950674	-6,563028e-05
9,8828125	0,011251618	0,36003831	0,00028908253	-7,3823685e-05
9,9824219	0,011383076	0,36509165	0,00035695732	-6,6128523e-05
10,082031	0,011476292	0,36533126	0,00040493906	-3,7880658e-05
10,181641	0,01192325	0,37677872	0,00039204955	-0,00010411991
10,28125	0,011723672	0,38368481	0,00044092536	1,5321113e-05
10,380859	0,011631652	0,38016307	0,00041991472	9,0514977e-06
10,480469	0,012696462	0,3902961	0,00046953559	-4,5797256e-05
10,580078	0,012537518	0,38419229	0,00049419701	-2,7320575e-05
10,679688	0,011436854	0,37602717	0,00048950315	-3,3576351e-05
10,779297	0,011314957	0,38499913	0,0004298985	-4,0524137e-05
10,878906	0,012927111	0,39661559	0,00039801002	5,3755379e-05
10,978516	0,012728729	0,40603676	0,0003939867	8,9255518e-05
11,078125	0,011497803	0,39660946	0,00040888786	-1,3258922e-05
11,177734	0,011702161	0,39503214	0,00044539571	-9,0099775e-06
11,277344	0,011789401	0,41384831	0,00041224062	0,00010922694
11,376953	0,012942648	0,40273437	0,00041827559	5,8848575e-05
11,476563	0,01233555	0,39939821	0,00037632883	0,00013765473
11,576172	0,012940257	0,40486747	0,0003772229	3,3576351e-05
11,675781	0,013905876	0,41616967	0,00038146973	0,00013419468
11,775391	0,013941729	0,41204038	0,00033214688	-3,417148e-05
11,875	0,014095893	0,40565982	0,00034458935	-2,6061116e-05
11,974609	0,013766053	0,41962403	0,00036381185	2,6988412e-06
12,074219	0,014437685	0,42465082	0,00038646162	0,00011822308
12,173828	0,014863131	0,4377194	0,00032804906	8,2570696e-05
12,273438	0,014099479	0,42787346	0,00036455691	3,2247692e-05
12,373047	0,013689568	0,43297118	0,00031299889	2,3819002e-05
12,472656	0,014479512	0,43623751	0,00037528574	3,3756274e-05
12,572266	0,014789036	0,43274811	0,00030726194	0,00011221642
12,671875	0,015062707	0,43917093	0,00030882657	0,00015570236
12,771484	0,01445083	0,4343968	0,00027656555	3,558318e-05
12,871094	0,014817717	0,45065123	0,0002283603	0,000199908
12,970703	0,015649488	0,45494217	0,00025264919	0,0001434953
13,070313	0,015641123	0,4600583	0,00019185245	0,00020292516
13,169922	0,01597216	0,45033923	0,00017933547	0,00017246287
13,269531	0,015839506	0,45303348	0,00016331673	0,00018848982
13,369141	0,015406889	0,45690623	0,00012546778	0,00023778866
13,46875	0,015564639	0,45851007	0,0001758337	0,00020556865
13,568359	0,015918382	0,45954517	0,00016123056	0,00017672565
13,667969	0,017434929	0,46701244	0,00014349818	0,00021186595
13,767578	0,016262561	0,47263104	0,00021107495	0,00021039888
13,867188	0,016699959	0,47350416	0,00023297966	0,00026249344
13,966797	0,016409555	0,47817227	0,00019870698	0,0002982427
14,066406	0,01623388	0,47143614	0,00020422041	0,00015395851
