MTS793|MPT|FRA|1|2|,|/|:|33|1|1|A

Acquisition de données						Temps :	532,43457	Sec	06/03/2012 12:10:18
Temps	Ch 1 Deplacement	Ch 1 Extenso	Ch 1 Extenso-ext	Ch 1 Force
Sec	mm	mm	mm	kN
0,21679688	-0,0019967556	-1,4025718e-05	-0,00029330156	0,10921139
0,41699219	0,0025045872	0,00068172812	-0,00019358618	0,29446307
0,6171875	0,0038290024	0,0011257455	-0,00012595626	0,40730715
0,81738281	0,0065475702	0,0015654042	-9,7687669e-05	0,52618444
1,0175781	0,0082975626	0,0019110739	-3,936133e-05	0,62923229
1,2177734	0,0098848343	0,0024929456	-1,991922e-05	0,75802159
1,4179688	0,011510849	0,0028167665	0,00011557918	0,86491245
1,6181641	0,015025139	0,0031480473	0,00014432488	0,96103108
1,8183594	0,014760494	0,0035597663	0,00015517906	1,055796
2,0185547	0,018126369	0,0039216969	0,00021159698	1,1558565
2,21875	0,019304156	0,0038942881	0,00018619103	1,1754427
2,4189453	0,022513866	0,0046102423	0,00026026191	1,3530902
2,6191406	0,023930669	0,0050079077	0,00027242812	1,4493893
2,8193359	0,027040243	0,0053872727	0,00035604113	1,5466502
3,0195313	0,027655959	0,0056337286	0,00040017354	1,6189539
3,2197266	0,030250549	0,0059135724	0,00041615663	1,7037867
3,4199219	0,031609535	0,0062023848	0,00046995044	1,7690415
3,6201172	0,033913255	0,0063876249	0,00048784196	1,8209395
3,8203125	0,037498474	0,0066408422	0,00051646837	1,8949794
4,0205078	0,038243532	0,0067691412	0,00048867689	1,940748
4,2207031	0,040279031	0,0069469493	0,00052171655	1,9984692
4,4208984	0,042653084	0,0072673336	0,0005400852	2,0660086
4,6210938	0,043493509	0,0074598938	0,00055928872	2,1025937
4,8212891	0,046375394	0,0078549888	0,00063491019	2,2025273
5,0214844	0,048054457	0,007972531	0,00060127414	2,2679243
5,2216797	0,04989326	0,0083006546	0,00064528728	2,3408175
5,421875	0,052503943	0,0084527582	0,00066210533	2,402308
5,6220703	0,054818392	0,0088134315	0,00074178219	2,4925923
5,8222656	0,056895018	0,0089631882	0,00075263635	2,5336492
6,0224609	0,058254004	0,00936809	0,00079676876	2,6283431
6,2226563	0,060560107	0,0094015896	0,000833506	2,67469
6,4228516	0,062307715	0,009642737	0,00083863491	2,7273932
6,6230469	0,06357789	0,0098232832	0,00085855415	2,8002431
6,8232422	0,066120028	0,010116678	0,00089731911	2,8865752
7,0234375	0,068267584	0,010310858	0,00091032026	2,9174051
7,2236328	0,070415735	0,010554576	0,00097890443	2,9996865
7,4238281	0,072437525	0,010693632	0,00096709601	3,044739
7,6240234	0,073729157	0,010947715	0,0010040718	3,0857637
7,8242188	0,0760144	0,011127619	0,001048562	3,1508934
8,0244141	0,077971816	0,011312915	0,0010823173	3,1965828
8,2246094	0,080914497	0,011648247	0,0011145221	3,2721598
8,4248047	0,081792474	0,011831671	0,00113301	3,3215079
8,625	0,084577799	0,011985004	0,0011764267	3,3648977
8,8251953	0,086811781	0,012091622	0,0011764267	3,413101
9,0253906	0,088524222	0,01240354	0,001220917	3,4902894
9,2255859	0,089790225	0,012540864	0,0012358265	3,5387685
9,4257813	0,092066526	0,01276142	0,0012976119	3,5988836
9,6259766	0,094669461	0,012995051	0,0012571771	3,6448922
9,8261719	0,09677887	0,013291966	0,0013842068	3,7187533
10,026367	0,097962618	0,013431441	0,0014080622	3,7686186
10,226563	0,099672675	0,013580276	0,0014364501	3,8028443
10,426758	0,10191381	0,013761129	0,0014539837	3,8536236
10,626953	0,10471225	0,014053714	0,0015323486	3,909096
10,827148	0,10610521	0,014223363	0,0015181546	3,9528284
11,027344	0,10812461	0,014417209	0,0015672967	4,0188346
11,227539	0,11060536	0,014562607	0,0016074929	4,0559225
11,427734	0,11204123	0,014831834	0,0016355229	4,1171398
11,62793	0,11395693	0,015054094	0,0016447073	4,1747689
11,828125	0,11742175	0,015216758	0,001673453	4,2150846
12,02832	0,11876762	0,015467685	0,0016858578	4,2694259
12,228516	0,12059331	0,015638843	0,0017041072	4,3349667
12,428711	0,12193203	0,015926482	0,001765654	4,3862815
12,628906	0,12512565	0,01595512	0,0017718563	4,4200406
12,829102	0,12614548	0,016060118	0,0018236224	4,462863
13,029297	0,12843549	0,016270699	0,0018663235	4,5035343
13,229492	0,13008416	0,016524699	0,0018769391	4,5562887
13,429688	0,13328493	0,016680434	0,0019495786	4,6147156
13,629883	0,13436317	0,016891267	0,0019525606	4,6564322
13,830078	0,13522983	0,017094109	0,0020333109	4,7089596
14,030273	0,13870895	0,017439974	0,0020946192	4,7615113
14,230469	0,14115572	0,017660726	0,0020539458	4,816534
14,430664	0,14284015	0,017619012	0,0021120335	4,8476753
14,630859	0,14428616	0,017812382	0,0020917566	4,8793216
14,831055	0,14635503	0,018016985	0,0021773973	4,9266133
15,03125	0,14864564	0,01825464	0,002179902	4,9740181
15,231445	0,1509577	0,018510288	0,0022316682	5,0287728
15,431641	0,15360057	0,018670689	0,0022398983	5,0764256
15,631836	0,15433252	0,018813238	0,0022450273	5,1076784
15,832031	0,15640736	0,018927148	0,002268167	5,1458826
16,032227	0,15799344	0,019171145	0,0023285209	5,1905437
16,232422	0,15956879	0,019406006	0,0023342462	5,2369237
16,432617	0,16278565	0,019654976	0,0023849388	5,2672977
16,632813	0,16506493	0,019872222	0,0024370628	5,3291993
16,833008	0,16684771	0,020123105	0,0024364665	5,3593202
17,033203	0,16839266	0,020268895	0,0024819109	5,4092827
17,233398	0,17013073	0,020473581	0,0025062433	5,4313908
17,433594	0,17252266	0,02074486	0,0025916456	5,4745727
17,633789	0,17355323	0,020819936	0,0025955816	5,4906917
17,833984	0,17599285	0,021144398	0,0026170514	5,5177517
18,03418	0,1789254	0,021381747	0,0026628538	5,5705013
18,234375	0,18042624	0,021538949	0,0026978019	5,5905571
18,43457	0,18235326	0,021683019	0,002698279	5,6149201
18,634766	0,18455684	0,021970659	0,002719868	5,6439066
18,834961	0,18662512	0,022111209	0,0027486137	5,6621523
19,035156	0,18709421	0,022273287	0,0027901221	5,6934052
19,235352	0,19104123	0,022476772	0,0027965631	5,7226663
19,435547	0,19242942	0,022633191	0,0028464207	5,755384
19,635742	0,19445479	0,022874465	0,0029263361	5,751883
19,835938	0,19779563	0,02284953	0,0028761206	5,7747169
20,036133	0,19794047	0,023019975	0,0029082061	5,7758164
20,236328	0,20037651	0,023218948	0,0029406494	5,8081045
20,436523	0,20351231	0,023374125	0,0029479251	5,8443971
20,636719	0,20409644	0,023451798	0,0030290333	5,8469868
20,836914	0,20703793	0,02339058	0,0030267672	5,8506665
21,037109	0,20897686	0,023520362	0,003040961	5,8714299
21,237305	0,21023095	0,023705181	0,0030880754	5,8900962
21,4375	0,21301627	0,02383288	0,0030557513	5,9258647
21,637695	0,21531999	0,023943003	0,0031084716	5,9278941
21,837891	0,21569908	0,023928741	0,0031448512	5,9377575
22,038086	0,21889627	0,024096366	0,003123262	5,9510031
22,238281	0,21992505	0,024307212	0,0031926811	5,9683099
22,438477	0,22284567	0,024348004	0,0031784871	5,9824529
22,638672	0,22476315	0,024474949	0,0032065173	5,9956484
22,838867	0,22685111	0,024554953	0,0031963787	6,0137334
23,039063	0,22722602	0,024688769	0,0032264364	6,0101328
23,239258	0,23086488	0,024524372	0,0032258402	6,0104046
23,439453	0,23281872	0,024823047	0,0032851207	6,0429225
23,639648	0,23489237	0,024882615	0,0032488604	6,0446811
23,839844	0,2368474	0,024986356	0,0032624579	6,0695558
24,040039	0,2379638	0,025035823	0,0032574483	6,0666881
24,240234	0,24088621	0,025104331	0,0032902495	6,0660429
24,44043	0,24129093	0,025125062	0,003307306	6,0742493
24,640625	0,24443686	0,025197104	0,0032976447	6,0773597
24,84082	0,24731636	0,025185704	0,0033000303	6,0910664
25,041016	0,2488023	0,025187507	0,0032993145	6,0762267
25,241211	0,25043845	0,025345534	0,0033265096	6,0974002
25,441406	0,25203764	0,025406178	0,0033446397	6,1015091
25,641602	0,25584936	0,025509316	0,0033318771	6,1146755
25,841797	0,25599003	0,02544743	0,0033553746	6,0775862
26,041992	0,25911272	0,025685253	0,0033552554	6,1066661
26,242188	0,26119053	0,025845192	0,0033251976	6,1194429
26,442383	0,26384056	0,026057675	0,0032787989	6,104404
26,642578	0,26509166	0,026150405	0,0032940663	6,0936022
26,842773	0,26694775	0,026672473	0,0033384373	6,1078777
27,042969	0,26873469	0,026895419	0,0033069483	6,0950031
27,243164	0,27021945	0,02716428	0,003304682	6,0921187
27,443359	0,27291954	0,027669165	0,0033337856	6,1104321
27,643555	0,27492344	0,028095677	0,0033605036	6,1077676
27,84375	0,27664185	0,028684087	0,0033519156	6,1063719
28,043945	0,27860641	0,029294919	0,0033168483	6,1095119
28,244141	0,28124034	0,029962551	0,0033522735	6,1186275
28,444336	0,28181493	0,030647116	0,0033343819	6,1136007
28,644531	0,2839756	0,03137102	0,003343089	6,1031113
28,844727	0,28778195	0,032164659	0,0033238856	6,1158581
29,044922	0,28797925	0,032836176	0,0033077833	6,1121011
29,245117	0,29183149	0,033649877	0,0033215	6,1020374
29,445313	0,29285014	0,034484994	0,0033219771	6,1120405
29,645508	0,29447854	0,035420988	0,0033232891	6,1133895
29,845703	0,29715776	0,036322825	0,0032951399	6,1027613
30,045898	0,29924631	0,037399005	0,0033491722	6,1174793
30,246094	0,30107915	0,038537044	0,0033011036	6,1070571
30,446289	0,30210972	0,039567977	0,0033034892	6,0848298
30,646484	0,304932	0,040719636	0,0033212614	6,1020932
30,84668	0,30693889	0,042144474	0,0034045167	6,1013217
31,046875	0,30890405	0,043326184	0,003431831	6,0884008
31,24707	0,30970275	0,044720862	0,003505544	6,0730438
31,447266	0,31201482	0,046168834	0,0036148017	6,0981641
31,647461	0,31425774	0,047598928	0,0037330049	6,0893569
31,847656	0,31737804	0,049108706	0,0040261871	6,0916862
32,047852	0,31892776	0,0506416	0,0045513627	6,0793214
32,248047	0,32035589	0,052237265	0,0051730331	6,0842438
32,448242	0,32289028	0,053971563	0,0059782704	6,0867944
32,648438	0,32444775	0,055466309	0,0068325307	6,0805836
32,848633	0,32760262	0,05731776	0,007767899	6,0986571
33,048828	0,32869816	0,05940973	0,008945399	6,0764709
33,249023	0,33075154	0,06098184	0,0099919336	6,0680676
33,449219	0,33346713	0,06285505	0,01121798	6,0944901
33,649414	0,33486128	0,065005183	0,012627235	6,085011
33,849609	0,33777058	0,066821732	0,013903734	6,0942526
34,049805	0,33892095	0,068724968	0,015218403	6,0914664
34,25	0,34179807	0,070503265	0,01653176	6,0901723
34,450195	0,34367681	0,072392665	0,017911315	6,0782819
34,650391	0,34368813	0,074224159	0,019323193	6,0860386
34,850586	0,3458643	0,076033413	0,020671021	6,0850196
35,050781	0,34950554	0,077686593	0,021982349	6,088377
35,250977	0,35022855	0,079751588	0,023293439	6,084908
35,451172	0,3524816	0,081627414	0,024641149	6,0814548
35,651367	0,35517752	0,083422445	0,025753999	6,0950069
35,851563	0,35686553	0,085212708	0,027015829	6,0861712
36,051758	0,35976768	0,087046206	0,028161483	6,1105976
36,251953	0,36019266	0,088630199	0,029112834	6,090692
36,452148	0,36350965	0,090470381	0,030203382	6,1063423
36,652344	0,36455095	0,092274949	0,031246217	6,0972276
36,852539	0,36696911	0,093909487	0,032188863	6,1177859
37,052734	0,36850572	0,095691353	0,033112541	6,1123943
37,25293	0,37151694	0,097421423	0,033946525	6,1074414
37,453125	0,3735429	0,099230446	0,034743771	6,1422744
37,65332	0,37454247	0,10103732	0,035534099	6,1143336
37,853516	0,37689686	0,1026102	0,036200378	6,1441379
38,053711	0,37959099	0,10436579	0,036842085	6,1208124
38,253906	0,38036704	0,10593356	0,037434056	6,1274362
38,454102	0,38241029	0,10752015	0,037949454	6,1219292
38,654297	0,38474619	0,10906535	0,03846759	6,1260452
38,854492	0,38650632	0,11071089	0,038925137	6,1307101
39,054688	0,3879416	0,11234561	0,039334375	6,133707
39,254883	0,39014161	0,1137703	0,039719161	6,115901
39,455078	0,39257884	0,11563177	0,040155835	6,1404543
39,655273	0,3947413	0,11723679	0,040436372	6,1311741
39,855469	0,3962338	0,1188509	0,040732894	6,1300659
40,055664	0,39897621	0,12049229	0,041039675	6,1354289
40,255859	0,39960265	0,12208813	0,04127286	6,1543097
40,456055	0,40318429	0,12373715	0,04141492	6,1434908
40,65625	0,40392399	0,12534644	0,041614588	6,1130223
40,856445	0,40770233	0,12716593	0,041732673	6,1195664
41,056641	0,40956855	0,12905902	0,041776448	6,0916271
41,256836	0,41030169	0,1302512	0,041791119	6,0540347
